fiyat,ekran_boyutu,islemci_cekirdek_sayisi,islemci_hizi,disk_tipi,ram_tipi,gpu_model,parmak_izi_okuyucu,isletim_sistemi,ekran_cozunurluk,ram_miktari,gpu_miktari,disk_kapasitesi,hdmi,marka
31603,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,32,2,512,Var,Lenovo
27141,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2,256,Var,Lenovo
23497,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,16,2,1280,Var,Lenovo
47799,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,20,4,1024,Var,Lenovo
49627,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,20,4,2048,Var,Lenovo
66038,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,64,4,512,Var,Lenovo
22640,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4,256,Var,Lenovo
38753,16,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,48,6,1280,Yok,Lenovo
21055,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,1536,Var,Asus
26140,14,10,1,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2,512,Var,Lenovo
19540,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,36,2,256,Var,Lenovo
12833,15.6,4,1,SSD,DDR4,Paylasimsiz,Yok,Windows,1366 x 768,4,2,256,Var,Asus
33590,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,16,2,1024,Var,Lenovo
43713,15.6,6,2.6,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,3,1536,Var,Lenovo
20061,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,36,2,512,Var,Lenovo
17417,14,4,1,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,36,2,1280,Var,Lenovo
17956,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,512,Var,Dell
19940,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,2,3072,Var,Dell
17838,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,256,Var,Dell
42170,16,8,3.2,SSD,other_ram,Paylasimsiz,Var,Windows,1920 x 1080,16,6,512,Var,Lenovo
26647,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2,256,Var,Lenovo
